Feature,Importance
Satisfaction,0.24813148144854222
Self Control,0.23784829202356614
Productivity Loss,0.20919314697947766
Frequency_Night,0.03890277437575464
Frequency_Evening,0.025621306901894986
Frequency_Afternoon,0.019610106620104886
Income,0.014784475080829949
Number of Videos Watched,0.013870615439683483
Frequency_Morning,0.013819562057498156
Scroll Rate,0.013215615812887266
Engagement,0.013097678769442652
Total Time Spent,0.012238005557013069
Time Spent On Video,0.012180766047510366
Age,0.01214390284875604
Number of Sessions,0.01006781275505832
Importance Score,0.009151658922690032
Owns Property,0.003385353132500422
Gender_Male,0.003210674191571847
Location_United States,0.00319324201992413
Profession_Students,0.0030295566747078223
Platform_Instagram,0.002961420388368714
Watch Reason_Entertainment,0.002892440862015157
Current Activity_At home,0.0028537557846791176
Device Type_Tablet,0.0028360735950275703
OS_Android,0.0026339163341257137
Gender_Female,0.002621856715971371
Current Activity_At work,0.0025743642133586797
OS_iOS,0.002560539807811749
Watch Reason_Boredom,0.002556764837610421
Watch Reason_Habit,0.0025450885828528723
Profession_Waiting staff,0.002440716627799317
Location_India,0.0022823586347051846
Device Type_Smartphone,0.002259912716748644
Connection Type_Wi-Fi,0.0020837709226535777
Age Group_36-50,0.0020726163057073537
Current Activity_At school,0.002053878979727894
Platform_Facebook,0.0020481750611513424
Age Group_50+,0.0020423710356298574
Profession_Labor/Worker,0.002036309310328096
Age Group_18-25,0.0020290441759645704
Connection Type_Mobile Data,0.001972609760543137
Platform_YouTube,0.0019596554158282493
Location_Brazil,0.00194574895295223
Watch Reason_Procrastination,0.0019353011160933862
Platform_TikTok,0.0019036484869221352
OS_MacOS,0.0017955224361795891
Device Type_Computer,0.0017515732531972667
Current Activity_Commuting,0.0016922642755168372
Age Group_26-35,0.001659860998052428
Profession_driver,0.0015740032953243382
Gender_Other,0.001414967853360065
Location_Japan,0.0014127558265682085
OS_Windows,0.0013918267439341698
Location_Pakistan,0.001329662546687486
Location_Germany,0.00130533545732401
Profession_Cashier,0.001258005119838911
Location_Indonesia,0.0012449043667184293
Profession_Manager,0.001214107312624937
Location_Vietnam,0.0012053284912148323
Location_Mexico,0.0011176052429285395
Location_Philippines,0.0009703367755202354
Profession_Teacher,0.0009479383964253713
Profession_Artist,0.0008633442665535342
Profession_Engineer,0.0006035406558230384
Age Group_<18,0.0004487504022176175
Watch Time,0.0
